(178,7,200)
(179,6,198)
(180,6,200)
(181,6,201)
(182,6,202)
(183,5,201)
(184,5,202)
(185,6,203)
(186,6,204)
(187,6,205)
(187,7,206)
(188,6,207)
(188,7,208)
(189,6,206)
(190,6,208)
(191,6,209)
(192,6,210)
(193,5,209)
(194,5,210)
(195,6,211)
(196,6,212)
(197,9,213)
(198,8,214)
(199,9,215)
(200,8,216)
(201,9,217)
(202,9,218)
(203,9,219)
(204,9,220)
(205,9,221)
(206,8,222)
(207,9,223)
(208,8,224)
(209,9,225)
(210,9,226)
(211,9,227)
(212,9,228)
(213,11,229)
(213,12,230)
(214,11,231)
(214,12,232)
(215,11,230)
(215,12,233)
(216,11,232)
(216,12,234)
(217,11,235)
(217,12,236)
(218,11,236)
(218,12,237)
(219,11,238)
(219,12,239)
(220,11,239)
(220,12,240)
(221,11,241)
(221,12,242)
(222,11,243)
(222,12,244)
(223,11,245)
(223,12,246)
(224,11,247)
(224,12,248)
(225,11,249)
(225,12,250)
(226,11,251)
(226,12,252)
(227,11,253)
(227,12,254)
(228,11,255)
(228,12,256)
(229,13,257)
(230,14,258)
(231,13,259)
(232,14,260)
(233,14,261)
(234,14,262)
(235,13,263)
(236,14,264)
(237,14,265)
(238,13,266)
(239,14,267)
(240,14,268)
(241,14,269)
(242,14,270)
(243,14,271)
(244,14,272)
(245,14,273)
(246,14,274)
(247,14,275)
(248,14,276)
(249,14,277)
(250,14,278)
(251,14,279)
(252,14,280)
(253,14,281)
(254,14,282)
(255,14,283)
(256,14,284)
(257,1,285)
(258,1,286)
(259,1,287)
(260,1,288)
(261,1,289)
(262,1,290)
(263,2,291)
(264,2,292)
(265,2,293)
(266,2,294)
(267,2,295)
(268,2,296)
(269,1,297)
(270,1,298)
(271,1,299)
(272,1,300)
(273,1,301)
(274,1,302)
(275,1,303)
(276,1,304)
(277,9,305)
(278,9,306)
(279,9,307)
(280,9,308)
(281,9,309)
(282,9,310)
(283,9,311)
(284,9,312)
(285,2,313)
(286,2,314)
(287,2,315)
(288,2,316)
(289,2,317)
(290,2,318)
(291,10,319)
(292,11,320)
(292,12,321)
(293,11,322)
(293,12,323)
(294,10,324)
(295,11,325)
(295,12,326)
(296,11,327)
(296,12,328)
(297,9,329)
(298,9,330)
(299,9,331)
(300,9,332)
(301,9,333)
(302,9,334)
(303,9,335)
(304,9,336)
(305,11,337)
(306,11,338)
(307,3,339)
(308,3,340)
(309,11,341)
(310,11,342)
(311,3,343)
(312,3,344)
(313,10,345)
(314,11,346)
(314,12,347)
(315,10,348)
(316,11,349)
(316,12,350)
(317,11,351)
(317,12,352)
(318,11,353)
(318,12,354)
(319,14,355)
(320,14,356)
(321,14,357)
(322,14,358)
(323,14,359)
(324,14,360)
(325,14,361)
(326,14,362)
(327,14,363)
(328,14,364)
(329,11,365)
(330,11,366)
(331,11,367)
(332,11,368)
(333,3,369)
(334,3,370)
(335,3,371)
(336,3,372)
(337,14,373)
(338,14,374)
(339,14,375)
(340,14,376)
(341,14,377)
(342,14,378)
(343,14,379)
(344,14,380)
(345,14,381)
(346,14,382)
(347,14,383)
(348,14,384)
(349,14,385)
(350,14,386)
(351,14,387)
(352,14,388)
(353,14,389)
(354,14,390)
(355,6,391)
(355,7,392)
(356,6,393)
(356,7,394)
(357,6,395)
(357,7,396)
(358,6,397)
(358,7,398)
(359,6,399)
(359,7,400)
(360,1,401)
(361,1,402)
(362,1,403)
(363,1,404)
(364,1,405)
(365,14,406)
(366,14,407)
(367,14,408)
(368,14,409)
(369,14,410)
(370,14,411)
(371,14,412)
(372,14,413)
(373,6,414)
(373,7,415)
(374,6,416)
(374,7,417)
(375,6,418)
(375,7,419)
(376,6,420)
(376,7,421)
(377,1,422)
(378,1,423)
(379,1,424)
(380,1,425)
(381,5,426)
(382,5,427)
(383,5,428)
(384,6,429)
(385,6,430)
(386,6,431)
(387,5,432)
(388,5,433)
(389,6,434)
(390,6,435)
(391,9,436)
(392,9,437)
(393,9,438)
(394,9,439)
(395,9,440)
(396,9,441)
(397,9,442)
(398,9,443)
(399,9,444)
(400,9,445)
(401,9,446)
(402,9,447)
(403,9,448)
(404,9,449)
(405,9,450)
(406,5,451)
(407,5,452)
(408,6,453)
(409,6,454)
(410,5,455)
(411,5,456)
(412,6,457)
(413,6,458)
(414,9,459)
(415,9,460)
(416,9,461)
(417,9,462)
(418,9,463)
(419,9,464)
(420,9,465)
(421,9,466)
(422,9,467)
(423,9,468)
(424,9,469)
(425,9,470)
(426,9,471)
(427,9,472)
(428,9,473)
(429,9,474)
(430,9,475)
(431,9,476)
(432,9,477)
(433,9,478)
(434,9,479)
(435,9,480)
(436,11,481)
(436,12,482)
(437,11,483)
(437,12,484)
(438,11,485)
(439,11,486)
(440,11,487)
(441,11,488)
(442,3,489)
(443,3,490)
(444,3,491)
(445,3,492)
(446,11,493)
(446,12,494)
(447,11,495)
(448,11,496)
(449,3,497)
(450,3,498)
(451,9,499)
(452,9,500)
(453,9,501)
(454,9,502)
(455,9,503)
(456,9,504)
(457,9,505)
(458,9,506)
(459,11,507)
(459,12,508)
(460,11,509)
(460,12,510)
(461,11,508)
(461,12,511)
(462,11,510)
(462,12,512)
(463,11,513)
(463,12,514)
(464,11,515)
(464,12,516)
(465,11,514)
(465,12,517)
(466,11,516)
(466,12,518)
(467,11,519)
(467,12,520)
(468,11,520)
(468,12,521)
(469,11,522)
(469,12,523)
(470,11,523)
(470,12,524)
(471,11,525)
(471,12,526)
(472,11,527)
(473,11,528)
(474,11,529)
(474,12,530)
