des(0,8043,3842)
(201,"intersection_1_t42",279)
(201,"intersection_1_t44",280)
(201,"intersection_1_t46",281)
(202,"intersection_1_t42",282)
(202,"intersection_1_t44",283)
(202,"intersection_1_t46",284)
(203,"intersection_1_t44",285)
(203,"intersection_1_t46",286)
(204,"intersection_1_t44",287)
(204,"intersection_1_t46",288)
(205,"intersection_1_t42",280)
(205,"intersection_1_t46",279)
(206,"intersection_1_t42",283)
(206,"intersection_1_t46",282)
(207,"intersection_1_t42",285)
(208,"intersection_1_t42",287)
(209,"intersection_1_t42",281)
(209,"intersection_1_t44",279)
(209,"intersection_1_t46",289)
(210,"intersection_1_t42",284)
(210,"intersection_1_t44",282)
(210,"intersection_1_t46",290)
(211,"intersection_1_t42",286)
(211,"intersection_1_t46",291)
(212,"intersection_1_t42",288)
(212,"intersection_1_t46",292)
(213,"intersection_1_t44",293)
(214,"intersection_1_t44",294)
(214,"intersection_1_t46",295)
(215,"intersection_1_t42",293)
(216,"intersection_1_t42",294)
(217,"intersection_1_t46",296)
(218,"intersection_1_t44",297)
(218,"intersection_1_t46",298)
(219,"intersection_1_t42",297)
(220,"intersection_1_t42",298)
(220,"intersection_1_t46",299)
(221,"intersection_1_t11",300)
(221,"intersection_1_t13",301)
(222,"intersection_1_t11",302)
(222,"intersection_1_t13",303)
(223,"intersection_1_t13",304)
(223,"intersection_1_t15",305)
(224,"intersection_1_t13",306)
(224,"intersection_1_t15",307)
(225,"intersection_1_t13",308)
(226,"intersection_1_t11",309)
(226,"intersection_1_t13",310)
(226,"intersection_1_t15",311)
(227,"intersection_1_t11",312)
(227,"intersection_1_t13",313)
(227,"intersection_1_t15",314)
(228,"intersection_1_t11",315)
(228,"intersection_1_t13",316)
(229,"intersection_1_t13",317)
(230,"intersection_1_t13",318)
(231,"intersection_1_t13",319)
(231,"intersection_1_t15",320)
(232,"intersection_1_t13",321)
(232,"intersection_1_t15",322)
(233,"intersection_1_t13",323)
(234,"intersection_1_t11",324)
(234,"intersection_1_t13",325)
(235,"intersection_1_t13",326)
(235,"intersection_1_t15",327)
(236,"intersection_1_t13",328)
